GEOID,median_income,total_population,total_households,transit_score,is_transit_desert,transit_dependency_score,transit_dependency_weight,transit_hardship_index,vulnerability_segment,affected_workers_estimate,transit_dependent_population_estimate,forced_drive_commuters_estimate,ht_burdened_households_estimate,lost_wages_annual,healthcare_annual,environment_annual,education_annual,forgone_affordability_annual,cost_of_inaction_annual,cumulative_delay_1yr_cost,cumulative_delay_3yr_cost,cumulative_delay_5yr_cost,safety_warning_score,displacement_risk_score
39049004620,58712.0,2390.0,848.0,0.0077,False,0.33746925963212016,1.3375,54.34,High-need transit burden,34.0,329.752358490566,33.74,117.0,24467.0,37415.91,12606.23,14951.19,0.0,89440.33,92474.96,286996.54,495107.94,0.0,46.34
39049004700,50737.0,5911.0,1997.0,0.0115,False,0.29854269238631026,1.2985,57.84,High-need transit burden,119.0,852.4626940410616,117.63,419.0,80257.63,95149.91,43916.49,68003.44,988224.27,1275551.74,1314203.18,4063474.03,6982485.08,0.0,61.25
39049004810,65282.0,2510.0,1173.0,0.0128,False,0.34586918368261454,1.3459,55.36,High-need transit burden,108.0,252.49786871270246,106.62,118.0,111341.1,26543.78,39795.6,14740.71,0.0,192421.19,198684.38,615719.09,1060515.89,0.0,44.0
39049004820,43672.0,2509.0,963.0,0.0128,False,0.29672586596007555,1.2967,57.07,High-need transit burden,73.0,161.53478712357216,72.07,73.0,62358.65,14995.14,26899.91,24507.63,453492.82,582254.15,599682.86,1853492.41,3183660.59,14.84,46.96
39049004900,42600.0,5757.0,2246.0,0.0536,False,0.41176282372414585,1.4118,64.69,High-need transit burden,338.0,963.7720391807659,319.88,376.0,385509.39,122640.55,118417.5,59067.54,1843277.7,2528912.68,2606891.91,8064541.11,13864700.34,0.0,57.39
39049005001,56397.0,1814.0,649.0,0.051,False,0.4770884494751988,1.4771,57.55,High-need transit burden,33.0,290.68721109399075,31.32,104.0,20913.96,38147.47,11600.56,15700.44,0.0,86362.43,89289.47,277103.65,478035.28,0.0,51.21
39049005002,21469.0,3995.0,1655.0,0.0459,False,0.6154279277716341,1.6154,68.65,High-need transit burden,307.0,1219.0181268882177,292.91,505.0,181826.83,226309.49,108602.18,52137.66,8116450.89,8685327.05,8948709.15,27668767.91,47542378.23,15.39,49.51
39049005100,25288.0,2369.0,763.0,0.0128,False,0.6858823312515101,1.6859,69.39,High-need transit burden,105.0,711.0104849279162,103.66,229.0,40016.6,136679.23,38690.79,25000.6,2033668.13,2274055.35,2343883.82,7249942.1,12462441.03,51.44,64.03
39049005200,101861.0,3272.0,2059.0,0.0319,False,0.13536085749034343,1.1354,42.27,Moderate hardship,109.0,176.39242350655658,105.52,215.0,39019.42,13959.98,39234.19,4732.0,0.0,96945.59,99977.11,309434.53,532280.42,0.0,39.38
39049005300,66362.0,2699.0,1155.0,0.074,False,0.3341260043032168,1.3341,52.98,High-need transit burden,154.0,418.28658008658005,142.6,179.0,105084.9,49049.2,52571.88,14956.29,0.0,221662.27,229041.23,710322.64,1224406.65,8.35,50.73
39049005410,48732.0,1894.0,789.0,0.0102,False,0.45837653306700205,1.4584,70.9,High-need transit burden,142.0,494.5044359949303,140.55,206.0,294791.61,77164.08,52487.22,18140.25,168781.8,611364.96,631748.37,1959239.19,3377051.58,0.0,61.35
39049005420,49609.0,2084.0,770.0,0.0045,False,0.399255541331182,1.3993,58.33,High-need transit burden,58.0,351.8441558441558,57.74,162.0,26093.3,44502.02,21587.15,23417.82,44056.54,159656.83,164715.08,510041.09,877832.48,0.0,61.57
39049005500,56667.0,4678.0,2060.0,0.0325,False,0.4237735607129075,1.4238,61.26,High-need transit burden,159.0,744.8466019417475,153.83,420.0,146760.84,94025.25,57189.79,33579.78,0.0,331555.66,342756.13,1063528.65,1834241.54,10.59,60.47
