GEOID,median_income,total_commuters,commute_30_34min,commute_35_39min,commute_40_44min,commute_45_59min,commute_60_89min,commute_90plus_min,workers_16plus,workers_no_vehicle,commute_mode_total,transit_commuters,disability_pop,medicaid_total,medicaid_below_poverty,medicaid_above_poverty,median_gross_rent,rent_burden_35_39pct,rent_burden_40_49pct,rent_burden_50plus_pct,rent_burden_not_computed,total_population,school_enrollment_public,educational_attainment_base,total_households,households_no_vehicle,pct_transit_commuters,pct_no_vehicle,pct_rent_burdened_severe,hourly_wage_estimate,disability_actual,school_age_pop_5_17,elderly_65plus,single_parent_hh
39049005100,25288.0,493.0,98.0,0.0,5.0,22.0,0.0,10.0,498.0,71.0,520.0,105.0,2252.0,2252.0,327.0,228.0,649.0,73.0,61.0,6.0,138.0,2369.0,456.0,1605.0,763.0,229.0,0.2019,0.1426,0.0079,12.16,827.0,459.0,427.0,195.0
39049005200,101861.0,1863.0,135.0,0.0,11.0,18.0,23.0,0.0,2467.0,109.0,2477.0,8.0,3272.0,3272.0,40.0,62.0,1432.0,76.0,106.0,33.0,76.0,3272.0,425.0,2935.0,2059.0,111.0,0.0032,0.0442,0.016,48.97,123.0,129.0,409.0,33.0
39049005300,66362.0,1404.0,129.0,0.0,26.0,0.0,53.0,16.0,1635.0,154.0,1672.0,132.0,2660.0,2660.0,146.0,359.0,1297.0,46.0,32.0,88.0,159.0,2699.0,523.0,1915.0,1155.0,179.0,0.0789,0.0942,0.0762,31.9,483.0,347.0,120.0,152.0
39049005410,48732.0,642.0,11.0,21.0,49.0,7.0,18.0,90.0,802.0,142.0,802.0,51.0,1894.0,1894.0,193.0,154.0,1159.0,40.0,14.0,92.0,116.0,1894.0,369.0,1268.0,789.0,206.0,0.0636,0.1771,0.1166,23.43,221.0,385.0,250.0,196.0
39049005420,49609.0,866.0,51.0,7.0,30.0,9.0,9.0,14.0,925.0,58.0,925.0,50.0,2084.0,2084.0,268.0,149.0,1085.0,34.0,89.0,39.0,93.0,2084.0,589.0,1263.0,770.0,130.0,0.0541,0.0627,0.0506,23.85,371.0,518.0,232.0,196.0
39049005500,56667.0,1888.0,130.0,13.0,17.0,132.0,28.0,54.0,2284.0,159.0,2284.0,144.0,4678.0,4678.0,438.0,403.0,1043.0,87.0,204.0,129.0,150.0,4678.0,1047.0,3341.0,2060.0,328.0,0.063,0.0696,0.0626,27.24,1107.0,730.0,519.0,451.0
39049005610,71012.0,864.0,62.0,13.0,6.0,36.0,15.0,16.0,981.0,10.0,981.0,0.0,1579.0,1579.0,103.0,192.0,1206.0,78.0,16.0,52.0,95.0,1579.0,217.0,1258.0,752.0,26.0,0.0,0.0102,0.0691,34.14,100.0,164.0,30.0,29.0
39049005620,55162.0,1092.0,137.0,56.0,24.0,0.0,0.0,69.0,1196.0,54.0,1196.0,35.0,2268.0,2268.0,304.0,146.0,1360.0,21.0,30.0,79.0,164.0,2268.0,526.0,1685.0,1057.0,143.0,0.0293,0.0452,0.0747,26.52,405.0,229.0,194.0,147.0
39049005700,128710.0,2071.0,266.0,0.0,11.0,0.0,0.0,0.0,3003.0,43.0,3003.0,0.0,3861.0,3861.0,0.0,16.0,1753.0,113.0,33.0,46.0,50.0,3861.0,197.0,3324.0,2261.0,60.0,0.0,0.0143,0.0203,61.88,169.0,120.0,634.0,0.0
39049005810,97070.0,1755.0,103.0,49.0,0.0,64.0,104.0,0.0,2113.0,14.0,2113.0,26.0,2833.0,2833.0,19.0,12.0,1636.0,76.0,5.0,50.0,93.0,2833.0,316.0,2479.0,1559.0,31.0,0.0123,0.0066,0.0321,46.67,150.0,110.0,272.0,27.0
